Date,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,VWAP,Month,Year,Day_Perc_Change,Trend,signal,Bolinger,Upper Band,Lower Band
2017-06-13,MINDTREE,EQ,2017-06-13,539.8,540.9,542.35,530.2,532.0,531.8,536.98,320855,172291144.95,12246,97230,30.3,530.2403612717809,6,2017,-0.01482030381622823,Slight or No change,1.0,528.6699999999998,567.103077858587,490.2369221414127
2017-06-14,MINDTREE,EQ,2017-06-14,531.8,531.7,536.75,516.45,523.5,523.3,523.37,671432,351407049.65,9066,317335,47.26,529.8921906805255,6,2017,-0.01598345242572396,Slight or No change,1.0,529.5174999999998,566.6021013581748,492.4328986418249
2017-06-15,MINDTREE,EQ,2017-06-15,523.3,521.05,523.75,515.05,515.65,517.85,520.28,210643,109592788.85,5216,66819,31.72,529.7056048250987,6,2017,-0.01041467609401858,Slight or No change,1.0,530.7649999999999,564.1579885486539,497.3720114513459
2017-06-16,MINDTREE,EQ,2017-06-16,517.85,518.05,525.45,511.15,514.9,514.95,518.36,385256,199702494.7,6706,116377,30.21,529.2989775063631,6,2017,-0.005600077242444712,Slight or No change,1.0,531.6374999999999,562.1593278234483,501.11567217655164
2017-06-19,MINDTREE,EQ,2017-06-19,514.95,518.7,520.45,511.6,515.2,515.9,516.15,188878,97488450.9,4159,31231,16.54,529.1203637492223,6,2017,0.0018448393047867386,Slight or No change,1.0,532.3149999999998,560.6206457080098,504.00935429198984
2017-06-20,MINDTREE,EQ,2017-06-20,515.9,516.0,525.0,516.0,519.05,519.75,520.97,442425,230490111.3,11450,226523,51.2,528.8366341942826,6,2017,0.0074626865671643125,Slight or No change,1.0,533.2449999999999,558.2715942759426,508.2184057240572
2017-06-21,MINDTREE,EQ,2017-06-21,519.75,517.85,524.0,515.05,519.9,519.6,520.65,414457,215787296.9,14034,188443,45.47,528.5818606897834,6,2017,-0.000288600288600227,Slight or No change,1.0,533.7274999999998,557.1860519138489,510.2689480861508
2017-06-22,MINDTREE,EQ,2017-06-22,519.6,520.0,530.85,518.25,521.05,521.0,525.4,403163,211820055.15,7914,95596,23.71,528.3837452111313,6,2017,0.002694380292532772,Slight or No change,1.0,532.5824999999999,556.1854943461686,508.97950565383104
2017-06-23,MINDTREE,EQ,2017-06-23,521.0,531.95,537.5,525.0,532.0,532.0,531.87,1238632,658793281.85,22835,220177,17.78,528.6524820187523,6,2017,0.02111324376199608,Slight or No change,1.0,532.4224999999999,555.9941483357267,508.8508516642731
2017-06-27,MINDTREE,EQ,2017-06-27,532.0,537.0,540.0,516.05,526.05,526.65,528.98,699296,369910443.5,15285,221803,31.72,528.571850207561,6,2017,-0.010056390977443595,Slight or No change,1.0,532.2274999999998,555.9285431704689,508.52645682953084
2017-06-28,MINDTREE,EQ,2017-06-28,526.65,525.0,534.0,520.55,529.95,531.1,529.33,336692,178221369.5,7826,73242,21.75,528.6199311836048,6,2017,0.008449634482103896,Slight or No change,1.0,531.9124999999999,555.4912342859265,508.33376571407337
2017-06-29,MINDTREE,EQ,2017-06-29,531.1,548.7,548.7,525.3,527.0,528.7,533.11,2877419,1533985313.85,37587,1395145,48.49,528.6311255368959,6,2017,-0.004518922990020657,Slight or No change,1.0,531.1499999999999,554.0667141945281,508.23328580547155
2017-06-30,MINDTREE,EQ,2017-06-30,528.7,529.1,532.0,523.0,530.9,529.0,527.44,470377,248097623.9,7901,245563,52.21,528.6393677368935,6,2017,0.000567429544164888,Slight or No change,1.0,530.7299999999999,553.4716473966992,507.98835260330065
2017-07-03,MINDTREE,EQ,2017-07-03,529.0,530.9,534.0,525.1,529.0,529.05,528.71,823697,435494658.55,17213,486031,59.01,528.6548298928424,7,2017,9.451795841197708e-05,Slight or No change,1.0,530.1874999999999,552.5221055542327,507.8528944457671
2017-07-04,MINDTREE,EQ,2017-07-04,529.05,535.0,535.95,529.05,535.0,534.4,532.27,912799,485857728.25,28323,597937,65.51,528.8849599384272,7,2017,0.010112465740478305,Slight or No change,1.0,529.0349999999999,547.4877875515069,510.5822124484927
2017-07-05,MINDTREE,EQ,2017-07-05,534.4,535.0,545.7,535.0,543.0,541.8,540.49,1592847,860913064.15,32898,980114,61.53,529.7287267128452,7,2017,0.01384730538922141,Slight or No change,1.0,528.7899999999997,546.3644611357082,511.21553886429126
2017-07-06,MINDTREE,EQ,2017-07-06,541.8,542.0,546.6,539.6,545.9,544.8,542.96,820255,445366595.1,13739,498293,60.75,530.2192737346708,7,2017,0.005537098560354448,Slight or No change,1.0,529.1849999999997,547.8483358557132,510.5216641442862
2017-07-07,MINDTREE,EQ,2017-07-07,544.8,544.9,548.8,538.05,540.7,539.15,543.07,1034523,561821559.7,17271,693438,67.03,530.5714311235821,7,2017,-0.010370778267253966,Slight or No change,0.0,528.9674999999997,547.0198004803148,510.91519951968473
2017-07-10,MINDTREE,EQ,2017-07-10,539.15,539.0,539.0,518.9,529.1,529.65,530.06,81549,43225589.8,1502,47018,57.66,530.568575877445,7,2017,-0.017620328294537746,Slight or No change,0.0,528.5124999999997,545.9757508880488,511.0492491119506
2017-07-11,MINDTREE,EQ,2017-07-11,529.65,530.5,531.5,523.4,524.5,524.7,527.49,499551,263505935.45,9874,250482,50.14,530.4592537482409,7,2017,-0.009345794392523256,Slight or No change,0.0,527.7574999999998,544.4548768819187,511.06012311808087
2017-07-12,MINDTREE,EQ,2017-07-12,524.7,523.0,525.9,513.15,514.0,514.3,518.34,609499,315924801.5,9131,367221,60.25,530.1001420815745,7,2017,-0.019820850009529375,Slight or No change,0.0,526.8824999999998,544.4968564353503,509.2681435646493
2017-07-13,MINDTREE,EQ,2017-07-13,514.3,516.85,520.0,510.1,513.95,513.75,515.39,429212,221209563.35,11816,203188,47.34,529.8482093229607,7,2017,-0.001069414738479435,Slight or No change,0.0,526.4049999999999,544.9228690373434,507.8871309626564
2017-07-14,MINDTREE,EQ,2017-07-14,513.75,513.75,518.8,510.55,514.0,514.95,514.91,692155,356397821.2,12260,394280,56.96,529.4869915148128,7,2017,0.002335766423357644,Slight or No change,0.0,526.2599999999999,545.1024939683514,507.4175060316484
